shelf;url;title;author;illustrator;year;publisher;rating;total_rating;total_review;genres;description;image_file
fiksi;https://www.goodreads.com/book/show/18042991-dead-smokers-club-part-1;Dead Smokers Club Part 1;Adham T. Fusama;;2013;FIM Kreasindo Gemilang;3.57;60ratings;23reviews;Indonesian Literature, Fiction;"“Selamat datang di T&T Boarding High School for Young Gentlemen!”
Adrian—yang semula hidup sederhana di panti asuhan—tidak menyangka hidupnya akan berubah begitu dia diterima bersekolah di T&T Boarding High School.
Di sana, dia berteman dengan siswa-siswa gila, eksentrik, tengil, badung, nekat, cerdas, kreatif, genius, berbakat, dan banyak akal. Ada siswa cerdik yang mengencani gurunya sendiri, ada ketua OSIS genius, wakil ketua OSIS yang jago kebut-kebutan, punker temperamental, hacker obesitas, drag queen, playboy kronis, penderita kepribadian ganda, emo psikopat, dan pemimpin Lunarchist yang taat.
Di sekolah tersebut, Adrian pun menemukan bakat terpendam yang tidak dia sadari sebelumnya. Dan, akibat bakatnya itu, dia diculik oleh sekelompok pria bertopeng dari klub misterius bernama Dea";2013_Dead_Smokers_Club_Part_1.jpg
fiksi;https://www.goodreads.com/book/show/2393065.No_Volvere;No Volvere: Biarkan aku pulang;Ita Sembiring;;2007;Gagas Media;3.12;50ratings;16reviews;Indonesian Literature, Fiction;"RUMAH adalah ruang semua rindu buat ayah, ibu, dan saudara-saudaramu.
Tempat kau melepas lelah sejenak setelah mengejar mimpi seharian penuh.
Rumah adalah satu-satunya tempat kau bisa melihat lebih dekat rupa cinta itu.
Rumah adalah tempat kau tak perlu berdusta atau khawatir diolok-olok karena menangis terlalu keras.
Hampir semua makhluk di dunia ini punya rumah. Ikan, burung-burung, bahkan tikus tanah sekalipun. Semuanya...kecuali aku.
Perang membuatku terbang tak tentu arah, tanpa tujuan.
Sayapku semakin lelah dan tubuhku kian penat.
Aku ingin bersandar di peluk ibuku, mendengar lelucon konyol adik-adikku, hingga tertidur dalam belaian suara ayahku. tapi seperti rumah, nasip juga menyeret pergi semuanya itu.
Aku sendiri, sekarat dalam himpitan sendu.
Air mataku menderas hingga menganak ";2007_No_Volvere_Biarkan_aku_pulang.jpg
fiksi;https://www.goodreads.com/book/show/18523044-barbitch;Barbitch: Kumpulan Cerita;Sagita Suryoputri;;2013;Gramedia Pustaka Utama;2.89;47ratings;9reviews;Indonesian Literature, Fiction;"Whether you love her so much... Or hate her so much...
Sekumpulan cerita di dalam
Barbitch
karya Sagita Suryoputri menampilkan kisah para perempuan dari sisi abu-abu kehidupan. Para tokohnya bercerita tentang pengkhianatan sahabat, cinta segitiga, manipulasi kekuasaan, perempuan dengan kecantikan bagai boneka, perpecahan keluarga… dan semua hal yang kadang disembunyikan masyarakat demi terjaganya stabilitas sosial dan moral. Mereka ada di sekitar kita, namun sering kita menutup mata bagi mereka. Mereka berpesta dalam entakan musik yang keras hingga tenggelam di bawah kerlip lampu warna-warni berkilauan. Di balik perjuangan demi kehidupan yang lebih baik, mereka tampil rupawan dan elok dipandang mata seakan dunia berjalan tanpa masalah. Hingga yang tersisa tinggallah pilihan: membenci atau ";2013_Barbitch_Kumpulan_Cerita.jpg
fiksi;https://www.goodreads.com/book/show/1516575.Rakkaustarina;Rakkaustarina;Jamal;;2003;Gramedia Widiasarana Indonesia;2.85;47ratings;6reviews;Indonesian Literature, Fiction;;2003_Rakkaustarina.jpg
fiksi;https://www.goodreads.com/book/show/1352828.Parang_Tak_Berulu;Parang Tak Berulu;Raudal Tanjung Banua;;2005;Gramedia Pustaka Utama;3.48;46ratings;9reviews;Indonesian Literature, Fiction;"Kumpulan cerpen dari Raudal Tanjung Banua
Menggarap satuan kecil semisal tradisi kampung atau kehidupan rumah tangga, Raudal Tanjung Banua menjalankan siasat naratif yang jitu dalam menghadapi realitas yang besar. Anasir kecil seperti pisau atau parang, menjadi pusat tersembunyi dari pengisahan; begitu konsistennya anasir itu tergarap, sehingga ia bisa bermakna sebagai kelamin lelaki atau bayangan lelaki, yang merangsang konflik di bawah permukaan. Tanpa perlu menjadi simbolisme atau realisme, sejumlah kisah Raudal yang terbaik menjadi ""sistem"" yang utuh dalam dirinya sendiri namun sekaligus prisma yang memancarkan masalah kaum, puak, atau satuan sosial yang lebih besar. Tanpa kegenitan untuk meleburkan warna lokal, Raudal berhasil meneruskan kompleksitas (dan keretakan) tradisi lisan ke d";2005_Parang_Tak_Berulu.jpg
fiksi;https://www.goodreads.com/book/show/1843106.Saraswati;Saraswati;Kanti W. Janis;;2007;AKUR - Andal Krida Nusantara;2.98;40ratings;7reviews;Indonesian Literature, Fiction;"from : http://www.inibuku.com/display.php?d=...
Saraswati, adalah novel perdana karya penulis belia, Kanti W. Janis. Terus terang, kami terperangah ketika membaca pertama kali. Secara tradisi biasanya kisah cinta, hanya memiliki 2 akhir penyelesaian. Apakah berakhir dengan ""happy ending"" atau tragedi dan perpisahan. Dalam Saraswati, Kanti keluar dari jalur tradisi ini. Secara tidak terduga Kanti menawarkan klimaks alternatif yang baru.
Ini daya tarik Saraswati. Kanti yang belia, secara fasih menulis Saraswati dengan alur dan jalur kontemporer, yang menjebak keterlibatan kita. Tanpa sadar kita terseret perlahan-lahan, dalam kompleksitas yang bergerigi tentang tatanan, sebuah kisah percintaan modern. Barangkali memang benar, bahwa cerita cinta selalu meninggalkan lebih banyak pertanyaan dari";
fiksi;https://www.goodreads.com/book/show/1238306.Kamu_Sadar_Saya_Punya_Alasan_Untuk_Selingkuh_kan_Sayang_;Kamu Sadar Saya Punya Alasan Untuk Selingkuh kan Sayang?;Tamara Geraldine;;2005;Gramedia Pustaka Utama;3.12;276ratings;54reviews;Indonesian Literature, Fiction;"Beberapa cerpen di dalam buku ini berkisah tentang kompleksitas cinta dalam hubungan suami-istri (""Kamu Sadar, Saya Punya Alasan untuk Selingkuh `Kan Sayang?"", ""Punggung Caska dan Berto"", ""Pengantar Bunga yang Tertahan Pemeriksaan""). Perselingkuhan menjadi hal yang tidak tabu dan biasa saja di dalam cerpen-cerpen ini. Tamara juga menulis tentang orientasi seksual yang berbeda dalam cerpen ""Toilet Shower, Good Idea!"" dan ""Nobody Knows"". Di cerpen-cerpen ini bisa terbaca bahwa homoseksual dan perilaku seksual yang variatif (jika tidak boleh dibilang berbeda) bukanlah barang haram yang patut disembunyikan. Tema lain yang diusung Tamara adalah kematian dan kehidupan setelahnya (""Maaf, Kita Harus Kenalan dengan Cara Seperti Ini"", ""Perempuan yang Berteman dengan Hantu"", ""U Turn"", dan ""Mengajari ";2005_Kamu_Sadar_Saya_Punya_Alasan_Untuk_Selingkuh_kan_Sayang.jpg
fiksi;https://www.goodreads.com/book/show/1482319.Tonil_Nyai_di_Ujung_Senapan;Tonil Nyai di Ujung Senapan;Agustrijanto;;2000;Syaamil Cipta Media;3.21;24ratings;1review;Indonesian Literature, Fiction;Kumpulan Cerpen Pilihan karya Agustrijanto;2000_Tonil_Nyai_di_Ujung_Senapan.jpg
fiksi;https://www.goodreads.com/book/show/1581532.Aisyah_Putri_4;Aisyah Putri 4: Teror Jelangkung Keren;Asma Nadia;;2002;Syaamil;3.58;238ratings;1review;Indonesian Literature, Fiction;"""Jelangkung, Jelangkung, yang ada di hutang-hutan yang ada di gunung-gunung, yang ada di lautan, yang ada di empat penjuru angin. Ayo, datanglah!"" Auuuuuung....
Keempat abang Aisyah Putri: Harap, Hamka, Iid, dan Vincent, menerima ajakan Udin untuk bermain Jelangkung. Udin ngakunya bisa manggil dia yang pergi tak dijemput pulang tak diantar. Dan terbukti beberapa Jelangkung berhasil 'dipanggil'. Tetapi..., ada satu Jelangkung ngamuk dan menolak ketika disuruh pulang. Hiiii.. serem!
Berani baca? Siapa takut! Yang jelas, kamu-kamu akan terhibur dengan kisah Aisyah Putri beserta keempat abang-abangnya yang sableng tapi cool dan baik hati.";2002_Aisyah_Putri_4_Teror_Jelangkung_Keren.jpg
fiksi;https://www.goodreads.com/book/show/2023896.Balada_Si_Roy_3;Balada Si Roy 3: Rendez-Vous;Gol A. Gong;;2007;Gramedia;3.83;214ratings;8reviews;Indonesian Literature, Fiction;"Setelah pulang dari perjalanan jauh, pengembaraan yang belum lengkap, si bandel kini dihadapkan pada kenyataan hidup: mamanya sudah beranjak tua dan sakit-sakitan, sekolahnya telantar, dan yang paling menyebalkan : Dewi Venus disunting ke pelaminan oleh seorang pemburu!
Dewi Venus kawin! Begitu cepat segalanya berubah. Roy kini hanya bisa menghitung langkah, kegelisahan, dan kesepian yang merajamnya nanti. Setelah tahu begini, mesti pulang ke mana setelah lebih menggembara? Padahal dia pulang untuk mereguk kebahagiaan.
Ada seorang gadis cantik kini berdiri di sampingnya. Roy meliriknya. Dia sudah bisa menebaknya, tapi dadanya berguncang juga. Betapa bahagiannya dia, batinnya.
""Ini fotomu, Ani. Foto yang kamu berikan ketika saya berangkat avonturir dulu. Sudah lusuh dan bau keringat, ya? Sa";2007_Balada_Si_Roy_3_Rendez-Vous.jpg
