shelf;url;title;author;illustrator;year;publisher;rating;total_rating;total_review;genres;description;image_file
fiksi;https://www.goodreads.com/book/show/18216157-koin-terakhir;Koin Terakhir;Yogie Nugraha;;2013;Bentang Pustaka;3.17;108ratings;37reviews;Action;"Sebuah data rahasia milik pemerintah yang disimpan dalam koin berongga dicuri dari Lembaga Sandi Negara. Keamanan nasional terancam hancur jika data itu disebarluaskan. Badan Intelijen Negara pun turun tangan. Mereka menugaskan Zen, agen terbaik BIN, untuk menuntaskan kasus ini.
Lokasi koin terdeteksi, target pun terkunci. Penugasan yang terdengar sederhana menjelma menjadi malapetaka tak terduga, membawa Zen melintasi berbagai negara Eropa, bahkan mengancam nyawanya. Waktu semakin menghimpit, Zen harus bergegas menuntaskan misinya … hanya untuk menemukan bahwa ia berada tepat di tengah konspirasi sebuah organisasi rahasia.
Di tengah gejolak politik dan ekonomi global yang berkecamuk, sebuah skenario besar telah disiapkan. Bangsa ini tersingkir menjadi orang asing di negeri sendiri. Ketika";2013_Koin_Terakhir.jpg
fiksi;https://www.goodreads.com/book/show/85174373-tanah-para-bandit;Tanah Para Bandit;Tere Liye;;2023;Sabak Grip;4.29;952ratings;164reviews;Action, Fiction, Novels, Adventure;"Di sini, para penjahat dibesarkan sejak buaian.
Dilatih lewat kebohongan. Dididik dengan kemunafikan.
Diajarkan melalui ketidakpedulian.
Di sini, semua bisa diatur sepanjang ada uangnya.
Yang bodoh bisa menjadi pintar seketika. Yang tidak layak bisa segera memenuhi syarat. Yang bersalah bisa jadi benar.
Yang bengkok bisa diluruskan. Tidak suka lurus? Mari dibengkokkan lagi.
Di sini, di Tanah Para Bandit, tidak ada lagi beda antara penjahat bejat dengan tuan nyonya terhormat. Mencuri, merampok hak orang lain, lumrah saja.
Ayo, jangan terlalu serius, Kawan. Kita berpesta malam ini.
Buku ini adalah buku ke-7 dari serial aksi Tere Liye. Setelah: Negeri Para Bedebah, Negeri Di Ujung Tanduk, Pulang, Pergi, Pulang-Pergi, dan Bedebah Di Ujung Tanduk.";2023_Tanah_Para_Bandit.jpg
fiksi;https://www.goodreads.com/book/show/213278594-bandit-bandit-berkelas;Bandit Bandit Berkelas;Tere Liye;;2024;Sabakgrip;4.25;552ratings;85reviews;Action, Fiction, Novels, Crime, Indonesian Literature, Romance, Adventure;"Mereka memang adalah bedebah.
Bandit-bandit.
Tapi mereka bukan pengkhianat, orang-orang bermuka dua, penjilat dan tabiat murahan lainnya.
Mereka adalah bandit-bandit dengan kehormatan. Setia kawan. Pemegang janji terbaik.
Mereka adalah bandit-bandit berkelas.";2024_Bandit_Bandit_Berkelas.jpg
fiksi;https://www.goodreads.com/book/show/59386056-bedebah-di-ujung-tanduk;Bedebah di Ujung Tanduk;Tere Liye;;2021;PT Sabak Grip Nusantara;4.35;1,587ratings;215reviews;Action, Fiction, Novels, Fantasy, Indonesian Literature, Adventure;"Di Negeri Para Bedebah, pencuri, perampok, bagai musang berbulu domba. Di depan, wajah mereka tersenyum penuh pencitraan. Di belakang penuh tipu-tipu.
Di Negeri di Ujung Tanduk, pencuri, perampok, berkeliaran menjadi penegak hukum. Di depan, di belakang, mereka tidak malu-malu lagi.
Tapi setidaknya, Kawan, dalam situasi apapun, petarung sejati akan terus memilih kehormatan hidupnya. Bahkan ketika nasib di ujung tanduk. Dia akan terus bertarung habis-habisan, bersama sahabat sejati. Karena esok, matahari akan terbit sekali lagi. Bersama harapan.";2021_Bedebah_di_Ujung_Tanduk.jpg
fiksi;https://www.goodreads.com/book/show/25557846-first-girl;First Girl;Luna Torashyngu;;2015;Gramedia Pustaka Utama;3.77;223ratings;35reviews;Action, Fiction, Young Adult, Indonesian Literature;"Tiara tadinya hanya remaja SMA biasa yang hobi hang-out sepulang sekolah, nongkrong dan jajan di kantin, juga sering ketiduran di kelas saat pelajaran berlangsung.
Tapi hidup Tiara berubah setelah ayahnya terpilih menjadi presiden. Sebagai anak presiden, Tiara mendapat fasilitas pengamanan ketat dari Pasukan Pengamanan Presiden (Paspampres). Sejak itu kebebasan Tiara seolah terenggut. Saat hang-out dia selalu dikawal. Sebelum jajan di kantin, makanannya dicicipi lebih dulu oleh pengawalnya. Dan yang bikin Tiara bete, dia nggak bebas lagi ngecengin cowok yang diincarnya.
Tiara protes. Dia berontak. Dan protesnya itu diterima. Tiara lalu mendapat pengawal pribadi yang seusia dengannya, bahkan jadi murid baru di kelasnya.
Namanya Aster, bukan remaja biasa, dan telah terlatih mengawal anak pre";2015_First_Girl.jpg
fiksi;https://www.goodreads.com/book/show/27278384-3;3;Primadonna Angela;;2015;Gramedia Pustaka Utama;3.97;33ratings;13reviews;Action, Indonesian Literature, Fiction;"Novelisasi film 3 karya Sutradara Anggy Umbara.
Alif, Lam, dan Mim. Tiga sahabat seperguruan yang menjalani hidup berbeda sejak Indonesia menjadi negara liberal. Alif teguh sebagai penegak hukum. Lam berkarier sebagai wartawan, memaparkan kebenaran sebagaimana yang dilihatnya. Mim tetap setia di padepokan, meski Indonesia mencurigai mereka yang beragama.
Satu demi satu konflik bergulir. Dalam situasi genting, garis antara kawan dan lawan mengabur, dan mereka bertiga harus terus berjuang demi negara, keluarga, dan sahabat yang mereka sayangi...";2015_3.jpg
fiksi;https://www.goodreads.com/book/show/240017613-hilang-di-wonju;Hilang di Wonju;Tsugaeda (Ade);;2025;Elex Media Komputindo;3.91;56ratings;25reviews;Action, Mystery, Thriller;"""Kamu akan mendapat penugasan jangka pendek ... ke Korea.""
Penugasan ke Korea seharusnya menjadi penyelamat bagi karier Iptu Hani Rustaman yang sedang di ujung tanduk. Jika bisa membantu memecahkan kasus hilangnya Felisia--gadis dari Jakarta--di Korea, mungkin jalan hidupnya di kepolisian masih bisa diselamatkan. Namun, kehadiran Hani diremehkan dan ditolak Kepolisian Korea.
Meski jengkel atas penolakan tersebut, Hani memutuskan untuk melanjutkan penyelidikannya. Bersama Detektif Lee Kyungseok--detektif yang ditugaskan untuk mendampinginya--Hani mulai menyusun kepingan petunjuk yang membawa mereka lebih jauh ke dalam labirin teka-teki penyelamatan Felisia. Koper yang sengaja dibuang, rumor Pembunuh Saputangan, hingga ritual angka tujuh yang mengerikan menyadarkan Hani bahwa misi penyelamat";2025_Hilang_di_Wonju.jpg
fiksi;https://www.goodreads.com/book/show/56459890-pulang-pergi;Pulang-Pergi;Tere Liye;;2021;Sabak Grip Nusantara;4.44;2,507ratings;322reviews;Action, Novels, Fiction, Romance, Fantasy, Adventure, Crime;"""Ada jodoh yang ditemukan lewat tatapan pertama.
Ada persahabatan yang diawali lewat sapa hangat.
Bagaimana jika takdir bersama ternyata,
diawali dengan pertarungan mematikan?
Lantas semua cerita berkelindan dengan,
pengejaran demi pengejaran mencari jawaban?
Pulang-Pergi.""";2021_Pulang-Pergi.jpg
fiksi;https://www.goodreads.com/book/show/62996041-sisi-liar;Sisi Liar;Tsugaeda (Ade);;2022;Onepeach Media;4.46;57ratings;20reviews;Action, Thriller Suspense, Fiction;"Rupanya Dio tak bisa istirahat terlalu lama selepas menyelesaikan misi pertamanya. Misi baru telah datang. Kali ini ia harus membongkar sindikat penebangan liar yang sudah lama merusak hutan Indonesia. Untuk itu ia perlu pergi menyelidiki, mulai dari ke tengah hutan Kalimantan hingga ke Singapura.
Namun, semakin jauh Dio mendalami kasus ini, ia ternyata menguak kejahatan yang jauh lebih gelap. Pekerjaan investigasi yang ia kerjakan tiba-tiba berubah menjadi permainan perburuan manusia.";2022_Sisi_Liar.jpg
fiksi;https://www.goodreads.com/book/show/35697309-mantra-lilith;Mantra Lilith;Hendri Yulius;;2017;Elex Media Komputindo;3.93;71ratings;17reviews;Adult;"“Kita sebagai sesama perempuan harus saling berbagi, termasuk berbagi neraka!”
Ini adalah kisah pengantar tidur tentang para perempuan yang tak akan pernah bisa terlelap nyenyak sebelum membalaskan dendam kesumatnya.
Mereka bukan perempuan luar biasa; mereka pasti sering kau jumpai di mana-mana para perempuan yang berusaha untuk menyembunyikan benci, amarah, dan murka di balik senyum dan pulasan kosmetik.
Bacalah dan temukan sosok mereka dalam dirimu sendiri….";2017_Mantra_Lilith.jpg
fiksi;https://www.goodreads.com/book/show/17216800-cerita-di-balik-noda;Cerita di Balik Noda;Fira Basuki;;2013;Kepustakaan Populer Gramedia;2.69;124ratings;20reviews;Adult;"Kisah-kisah dalam Cerita di Balik Noda ini seolah menyadarkan kita betapa anak-anak adalah sumber kebijaksanaan hidup yang tak pernah kering jika kita mau melihatnya dengan cinta. Kenakalan mereka adalah kilau emas, dan kepolosan mereka adalah mentari pagi yang menghangatkan jiwa.
Barangkali karena yang melahirkan anak-anak, para ibulah yang umumnya mampu melihat semua itu dengan cinta mereka. Tidak heran bila kisah-kisah dalam buku ini kebanyakan ditulis oleh kaum ibu. Mereka berbagi cerita tentang hubungan ibu-anak yang telah memperkaya jiwa mereka.
Fira Basuki, salah seorang novelis Indonesia terkemuka sekarang ini, mengembangkan cerita-cerita para ibu tersebut dengan tetap mempertahankan gaya tulisan aslinya. “Ketika saya diminta untuk mengembangkan buku Cerita di Balik Noda ini, saya ";2013_Cerita_di_Balik_Noda.jpg
fiksi;https://www.goodreads.com/book/show/29097713-remember-amsterdam;Remember Amsterdam;Vira Safitri;;2016;Gramedia Pustaka Utama;3.71;70ratings;24reviews;Adult, Romance;"Amy Maycott sadar, menikahi seseorang yang tidak dicintai hanya akan membawa masalah. Itulah alasan mengapa ia harus menghentikan rencana pernikahannya dengan Ton van der Deen. Mungkin lebih tepatnya melarikan diri dari pernikahan itu. Pelarian Amy ke Amsterdam mempertemukan gadis itu dengan Liam Sparks, musisi muda yang sedang naik daun dan digilai fans. Sosok Amy yang kikuk dan misterius, membuat Liam tertarik menjadikan gadis itu tameng dari serbuan gosip media.
Perasaan Liam yang semakin kuat dan kenyataan bahwa Amy Maycott bukanlah gadis sembarangan, membuat Liam jadi mempertanyakan niatnya. Amy pun sadar bahwa ia tidak bisa selamanya melarikan diri. Ketika masa lalu dan masa depan bertarung di depannya, akankah Amy kembali lari dan menjauh dari kebahagiaan?
“Cinta itu abadi, tapi bis";2016_Remember_Amsterdam.jpg
fiksi;https://www.goodreads.com/book/show/41148437-resolusi;Resolusi;Ken Terate;;2018;Gramedia Pustaka Utama;3.53;36ratings;11reviews;Adult, Short Stories, Fiction;"Resolusi. Banyak yang menjadikannya tradisi. Banyak yang menjadikannya acuan, target yang harus dikejar. Terutama para mama muda. Mereka yang masih penuh semangat membangun rumah tangga dan membentuk karakter anak yang masih kecil. Mereka yang masih penuh harapan dan impian demi masa depan.
Namun, bagaimana jika impian itu berhadapan dengan masalah? Bagaimana kalau harapan itu berhadapan dengan tembok yang begitu tinggi seolah tak bisa dilewati?
Saat kesempurnaan tak bisa diraih, apakah resolusi masih diperlukan?
Lima pengarang yang juga mama muda berbagi cerita tentang asa akan masa depan dalam badai rumah tangga.";2018_Resolusi.jpg
fiksi;https://www.goodreads.com/book/show/36143080-bara;Bara: Surat Terakhir Seorang Pengelana;Febrialdi  R;;2017;MediaKita;4.01;330ratings;36reviews;Adventure, Fiction;"Bara, seorang lelaki muda, pendaki gunung, relawan, sekaligus penulis kisah-kisah petualangan. Latar belakang keluarganya yang berantakan membuat hidupnya liar, keras, dan bebas. Setelah neneknya meninggal dunia, ibunya pergi entah ke mana, dan ayahnya di penjara. Ia pun hijrah dari Indramayu ke Bandung, meneruskan SMA, kuliah, dan kehidupan barunya. Di antara itu, Bara mengalami kisah cinta yang pelik, tidak seindah yang dibayangkan. Bertubi-tubi cinta itu datang tak disangka, tetapi juga begitu saja kandas meninggalkan luka. Bara tidak ingin berusaha berhenti, walaupun ada yang memutuskan untuk pergi.
Petualangan dan cinta, sejauh apa pun bertualang, pada akhirnya cinta akan selalu mengenal kata pulang. Dan, tak ada tempat sebaik-baiknya mengakhiri pengembaraan untuk pulang, selain hanga";2017_Bara_Surat_Terakhir_Seorang_Pengelana.jpg
fiksi;https://www.goodreads.com/book/show/59785118-komsi-komsa;Komsi Komsa;E.S. Ito;;2021;Falcon;4.31;62ratings;24reviews;Adventure, Historical Fiction, Fiction, Crime;Sam, pemuda Indonesia yang berniat mengenyam pendidikan militer di Saipan, sudah memutuskan mati sebelum seorang dokter Amerika menyelamatkan dan mengirimnya ke Tanah Paman Sam untuk menjadi manusia berpendidikan. Tetapi, Sam malah terjebak utang judi pada mafia. Demi melunasi utangnya, Sam terjerumus dalam serangkaian pekerjaan penyelundupan, mulai dari narkotika, orang, hingga ratusan pucuk senjata. Bahkah, perannya menjadi sentral dalam berbagai perang saudara dan konflik yang terjadi pada periode 1950-an di dunia internasional. Sam pun harus mengungkap siapa sutradara besar di balik semua tugas klandestin yang memanjang dari Amerika, Tibet, India, Vietnam, Afrika Utara, hingga rencana yang melibatkan pembunuhan Bung Karno.;2021_Komsi_Komsa.jpg
fiksi;https://www.goodreads.com/book/show/11412388-cancelot-rucastle;Cancelot & Rucastle: Sisir Tulang Ikan;Oscar Waddle;;2011;Eadore Books;3.63;19ratings;5reviews;Adventure, Indonesian Literature, Fantasy;"Daniel Rucastle adalah seorang bocah pengangkut keranjang ikan yang bisa bersajak. Apa yang istimewa dari hal itu? Tidak ada yang istimewa, tentu saja, kecuali kalau kamu bergabung dalam Corsair kepulauan Karibia. Dan sialnya, atau mungkin UNTUNGnya, Daniel, bocah lugu berambut pirang berkulit halus ini, ternyata memang bergabung dalam salah satu Corsair, Corsair Overlord tepatnya, di bawah kepemimpinan William Cancelot, si pucat yang tampan.
Apa itu Corsair? Corsair adalah bajak laut cilik yang mendapat kepercayaan dan mandat khusus dari kerajaan Britania Raya menjadi bajak laut “rahasia” untuk memberi pelajaran pada bajak laut-bajak laut dewasa yang “nakal”. Terkadang Corsair mendapat tugas-tugas khusus dalam misi rahasia perintah Raja atau Gubernur.
Sejak bergabung dalam Corsair Overlor";2011_Cancelot_&_Rucastle_Sisir_Tulang_Ikan.jpg
non-fiksi;https://www.goodreads.com/book/show/13576607-perjalanan-ke-atap-dunia;Perjalanan ke Atap Dunia;Daniel Mahendra;;2012;MEDIUM;4.08;118ratings;26reviews;Adventure, Nonfiction;"…ditulis dengan teknik menulis fiksi, sehingga pembaca tidak seperti sedang membaca sebuah brosur perjalanan. Betapa asyik menjadi traveler sembari menulis. Travel Writer! Perjalanan itu ibarat sebuah cara untuk menemukan jati diri.
Gol A Gong, Penulis, Pendiri Rumah Dunia.
***
“Apa yang kamu cari, Daniel?”
Tiba-tiba aku tercekat dengan pertanyaannya. Belum pernah ada orang yang bertanya seperti itu selama perjalananku. Apa yang aku cari? Gila! Aku tidak bisa menjawab pertanyaan sesederhana itu.
Apa yang aku cari? Aku menyeruput teh hangatku yang masih mengepul. Ia tersenyum menangkap kegugupanku.
“Masa muda, Daniel. Masa muda. Memang seharusnya begitu. Pergilah ke mana pun kakimu melangkah. Itu akan menempamu. Memperkaya pengalaman batinmu.” Ia menyedot lagi rokoknya. “Tetapi pada saatnya";2012_Perjalanan_ke_Atap_Dunia.jpg
fiksi;https://www.goodreads.com/book/show/26249241-negeri-para-roh;Negeri Para Roh;Rosi L. Simamora;;2015;Gramedia Pustaka Utama;4.15;223ratings;87reviews;Adventure, Novels, Fiction, True Story, Indonesian Literature, Spirituality, Travel;"Pada tanggal 6 Juni 2006, longboat berpenumpang lima kru sebuah stasiun televisi berangkat dari Agats menuju Timika. Mereka adalah Senna, Totopras, Sambudi, Bagus, dan Hara.
Belum lagi tengah hari, laut sekonyong mengganas dan longboat terbalik. Berbekal dry box berukuran lima puluh sentimeter persegi, empat dari mereka harus bertahan di tengah amukan Laut Arafuru. Yang seorang lagi terpisah bersama tiga awak perahu, terseret arus ke arah berlawanan.
Negeri Para Roh adalah kisah tentang kelima kru itu. Di negeri itu mereka belajar mengenal manusia Asmat dan relung-relung ritualnya yang purba. Mereka juga menyaksikan bagaimana roh-roh leluhur dihormati dan sekaligus ditakuti, terus diingat dalam patung-patung ukiran, namun juga dibujuk pergi dan diantar ke dunia abadi di balik tempat mataha";2015_Negeri_Para_Roh.jpg
fiksi;https://www.goodreads.com/book/show/25520085-summit;Summit;Peringga Ancala;;2015;Ice Cube, KPG;3.68;59ratings;26reviews;Adventure, Young Adult;"“Gue mau mendaki Rinjani. Seperti yang lo tahu, gue udah tertipu habis-habisan. Jadi, gue butuh pemandu dan—”
“Mendaki? Kau tidak salah? Mendaki sampai puncak Mahabiru?”
“Dengar, ya, gue ini punya misi penting. Lo nggak perlu tahu alasannya, yang pasti gue harus mendaki Rinjani. Terserah lo mau bilang apa!”
“Dan misimu itu lebih penting dari nyawamu?”
Bagi Lika si gadis suku Sasak asli, Rinjani adalah taman bermainnya sejak kecil. Berjam-jam mendaki jalur terjal menuju Danau Segara Anak, ia sudah ahli. Puncak Mahabiru pun sudah berkali-kali ia sambangi. Dan ia tak main-main saat mengatakan kalau mimpinya adalah menjadi
trekking guide
perempuan berlisensi. Sayangnya, Lika harus puas menjadi pemandu wisata keliling desa karena para pendaki lebih percaya
trekking guide
laki-laki. Kesempatan l";2015_Summit.jpg
fiksi;https://www.goodreads.com/book/show/23454393-croissant;Croissant;Josephine Winda;;2014;Elex Media Komputindo;3.56;27ratings;10reviews;Anthologies, Indonesian Literature;"Ditemani santainya kepulan asap teh saat senja
Sepotong
croissant
renyah mencecap rasa
Berlapis seperti kisah kehidupan yang tak kunjung habis
Diwakili sepuluh cerita dunia
Semoga tak lekas ucapkan
bon voyage
—selamat tinggal
Hanya maklumi
c’est la vie
—itulah hidup.";2014_Croissant.jpg
fiksi;https://www.goodreads.com/book/show/2727550-dokumen-jibril;Dokumen Jibril;Dee Lestari;;2005;Republika;4.09;260ratings;5reviews;Anthologies, Indonesian Literature;Kumpulan dari cerpen-cerpen terbaik yang pernah dimuat di Republika, karya para perempuan pengarang Indonesia.;2005_Dokumen_Jibril.jpg
fiksi;https://www.goodreads.com/book/show/25151879-semua-orang-pandai-mencuri;Semua Orang Pandai Mencuri: Kumpulan Cerpen Esquire Indonesia #1;Alex R. Nainggolan;;2015;Gramedia Pustaka Utama;3.17;82ratings;34reviews;Anthologies, Short Stories, Indonesian Literature;"Sebuah cerita yang menyisakan aroma akan meninggalkan kesan yang tak henti-hentinya merasuk dan bergerak dalam imajinasi pembaca. Bahkan lama setelah dibaca, cerita akan terkuak terus dan tak henti pada titik terakhir cerita. Sedangkan kejutan pada akhir sebuah cerita memberi kepuasan, dan kita paham bahwa kepuasan sekaligus juga menenggelamkan kita dalam kelupaan.
Dua belas cerpen yang terkumpul di edisi khusus Esquire ini tak hanya memberikan kesan dan kepuasan semacam itu, tapi juga memotret sisi kehidupan manusia-manusia urban dengan geliat hasrat, belitan problema, dan pencarian jati diri. Beberapa cerpen dari kumpulan ini bisa dibandingkan dengan karyakarya paling modern di mancanegara dan memberi gambaran yang cukup mewakili perkembangan cerpen di Indonesia dari masa ke masa.";2015_Semua_Orang_Pandai_Mencuri_Kumpulan_Cerpen_Esquire_Indonesia.jpg
fiksi;https://www.goodreads.com/book/show/35158467-dari-timur  ;Dari Timur: Tulisan Pilihan Makassar International Writers Festival;Ama Achmad;;2017;Gramedia Pustaka Utama;3.54;113ratings;31reviews;Anthologies, Short Stories, Poetry, Fiction, Indonesian Literature;"Dari Timur adalah antologi karya penulis Indonesia Timur hasil kurasi tim Makassar International Writers Festival (MIWF). Edisi perdana ini menghadirkan puisi dan cerita pendek dari sebelas penulis yang pernah terpilih menjadi penulis undangan MIWF sejak 2011.
Sajak dan cerita pendek dari Ama Achmad, Cicilia Oday, Deasy Tirayoh, Dicky Senda, Emil Amir, Erni Aladjai, Faisal Oddang, Ibe S. Palogai, Irma Agryanti, Jamil Massa, dan Mario F. Lawi akan membawa kita semakin mengenal daerah Indonesia Timur, mulai dari identitas, adat dan kebudayaan yang dijalani, hingga isu sosial yang berbeda dari setiap daerah.
Selamat menjelajahi Indonesia Timur...";2017_Dari_Timur_Tulisan_Pilihan_Makassar_International_Writers_Fe.jpg
non-fiksi;https://www.goodreads.com/book/show/12064761-omah;Omah: Membaca Makna Rumah Jawa;Revianto Budi Santosa;;2000;Yayasan Bentang Budaya;3.76;17ratings;1review;Architecture;;2000_Omah_Membaca_Makna_Rumah_Jawa.jpg
non-fiksi;https://www.goodreads.com/book/show/18334869-sejarah-arsitektur;Sejarah Arsitektur: Sebuah Pengantar;Setiadi Sopandi;;2013;Gramedia Pustaka Utama;4.20;82ratings;12reviews;Architecture, History, Indonesian Literature;Buku ini merupakan sebuah pengantar singkat menuju dunia arsitektur yang luas, yang terbentang sejak ribuan tahun silam dan tersebar di berbagai pelosok dunia. Paparan ini tidak disajikan selalu runut kronologis, melainkan secara tematik dimulai dari yang paling sederhana secara konstruksi hingga bentuk-bentuk yang lebih kompleks. Kompleksitas ini juga tidak dipahami sebagai sebuah aktivitas membangun secara fisik belaka, namun juga meliputi aktivitas “membangun” teori yang telah dilakukan manusia sejak awal “berarsitektur”. Disajikan dengan diagram-diagram yang lugas dan informatif, buku ini diharapkan dapat dengan mudah diserap oleh para mahasiswa maupun para arsitek dan memperkaya lebar pandang dalam memahami kekayaan khazanah arsitektur dunia.;2013_Sejarah_Arsitektur_Sebuah_Pengantar.jpg
non-fiksi;https://www.goodreads.com/book/show/16047848-tegang-bentang;Tegang Bentang: Seratus Tahun Perspektif Arsitektural di Indonesia;Pusat Dokumentasi Arsitektur Indonesia;;2012;Gramedia Pustaka Utama;3.89;44ratings;7reviews;Architecture, Indonesian Literature, History;"Sejarah Arsitektur Modern Indonesia terbangun dari ketegangan pemikiran dan perdebatan tentang gagasan-gagasan arsitektural yang seringkali bertentangan. Namun, justru ketegangan-ketegangan itulah yang sampai sekarang mengakibatkan wacananya terus berlanjut, dan membangun bentang sejarah Arsitektur Modern Indonesia tersebut.
Perdebatan yang dibicarakan di atas juga terjadi di kalangan arsitek yang bekerja di Indonesia. Arsitek-arsitek muda Belanda yang bekerja di Indonesia di awal abad ke-20 menentang jenis arsitektur yang diciptakan oleh unit zeni militer di kepulauan jajahan. Beberapa arsitek seperti Schoemaker, Thomas Karsten dan Maclaine Pont merupakan arsitek muda yang progresif pada masanya. Kemudian masa sesudah tahun 1945, setelah Proklamasi Kemerdekaan, pertentangan antara pemikir";2012_Tegang_Bentang_Seratus_Tahun_Perspektif_Arsitektural_di_Indo.jpg
fiksi;https://www.goodreads.com/book/show/36563917-cerita-pendek-sekali;Cerita Pendek Sekali;Ugo Untoro;;2017;Nyala;3.19;16ratings;6reviews;Art;"Sebuah rumah dengan aroma ganja, sperma, dan anggur Orang Tua. Rocker Yahudi berteriak-teriak di VCD player. Rumah dengan aroma aneh itu, selalu banyak orang yang ngintipin.
---
Dari pintu yang setengah terbuka, aku melihat seorang laki-laki tua dengan topi seragam sekolah melintasi jalan berumput di depan rumahku. Setelahnya tidak terjadi apa-apa.";2017_Cerita_Pendek_Sekali.jpg
non-fiksi;https://www.goodreads.com/book/show/1342560.Kelir_tanpa_Batas;Kelir tanpa Batas;Umar Kayam;;2001;Gama Media, Pusat Studi Kebudayaan (PSK) UGM dan The Toyota Foundation;3.40;10ratings;1review;Art;Critical viewpoint on wayang performance.;2001_Kelir_tanpa_Batas.jpg
non-fiksi;https://www.goodreads.com/book/show/6084503-politik-dan-gender;Politik dan Gender: Aspek-aspek Seni Visual Indonesia;Adi Wicaksono;;2003;Yayasan Seni Cemeti;0.00;0ratings;0reviews;Art;;2003_Politik_dan_Gender_Aspek-aspek_Seni_Visual_Indonesia.jpg
non-fiksi;https://www.goodreads.com/book/show/5979400-sudjojono-dan-aku;Sudjojono dan Aku;Mia Bustam;;2006;Pustaka Utan Kayu;4.36;45ratings;9reviews;Art;;2006_Sudjojono_dan_Aku.jpg
non-fiksi;https://www.goodreads.com/book/show/26198289-kurasi-dan-kuasa;Kurasi dan Kuasa: Kekuratoran dalam Medan Seni Rupa Kontemporer di Indonesia;Agung Hujatnikajennong;;2015;Marjin Kiri;3.78;23ratings;5reviews;Art, Nonfiction;"Istilah, praktik, dan profesi kurator yang belakangan marak di dunia seni rupa Indonesia sesungguhnya nyaris tak pernah ditemukan dalam wacana seni rupa Indonesia sebelum era 1990an. Mengapa demikian? Adakah kaitan antara ""kurator""dengan wacana ""seni rupa kontemporer""yang juga berkembang dari kurun waktu yang sama?
Buku ini mengupas sejarah teori dan praktik kekuratoran baik di Barat maupun dalam konteks yang khas Indonesia, beserta relasinya dengan kuasa-kuasa lain yang bekerja dalam medan seni rupa, baik itu kuasa politik maupun kuasa ekonomi. Sebuah sumbangan penting bagi kepustakaan dan kajian seni di Indonesia.";2015_Kurasi_dan_Kuasa_Kekuratoran_dalam_Medan_Seni_Rupa_Kontempor.jpg
non-fiksi;https://www.goodreads.com/book/show/31689518-sejarah-estetika;Sejarah Estetika;Martin Suryajaya;;2016;Gang Kabel dan Indie Book Corner;4.45;92ratings;10reviews;Art, Nonfiction, Philosophy;Apa itu karya seni dan sejak kapan hal itu ada? Bagaimana mulanya kesenian dipandang sebagai tiruan atas alam? Dapatkah kesenian dinilai dari fungsi sosialnya? Mengapa komposisi tertentu cenderung dianggap indah? Dari mana asal-muasal gagasan tentang seniman sebagai seorang jenius dan konsepsi soal fiksi sebagai wacana yang otonom terhadap evaluasi faktual? Mengapa seni dibedakan dari kerajinan dan seni murni dipisahkan dari seni terapan? Mengapa kesenian mulai dilihat dalam kacamata subjektif sebagai wilayah perasaan murni? Dari mana asal-usul pandangan bahwa kerja seni semestinya dijalankan demi seni itu sendiri? Apakah bentuk merupakan satu-satunya ciri hakiki karya seni? Apa hubungan antara modernisme estetis dan doktrin kekhasan wahana? Mengapa pengarang dianggap sudah mati dalam era ;2016_Sejarah_Estetika.jpg
non-fiksi;https://www.goodreads.com/book/show/23282405-saya-farida;Saya Farida: Sebuah Autobiografi;Farida Oetoyo;;2014;Gramedia Pustaka Utama;4.21;19ratings;5reviews;Autobiography;"Sejak usia sembilan tahun Farida Oetoyo telah mengetahui pilihan hidupnya: menjadi penari balet. Cita-cita ini kemudian ditempuhnya dengan kerja keras dan perjuangan tak kenal lelah. Ia mempelajari balet sampai ke berbagai negara seperti Australia, Belanda, Rusia, dan Amerika. Negeri Tirai Besi Rusia dengan Akademi Balet Bolshoi-lah yang kemudian membentuk karakter Farida menjadi penari yang tangguh. Di bawah pendidikan dan disiplin ketat, Farida tumbuh menjadi balerina berkarakter. Pada akhir masa belajar, Farida menyandang gelar Artist of the Ballet dengan nilai cum laude tertera di ijazahnya. Ia pun membuat bendera Merah Putih untuk pertama kalinya berkibar di Gedung Teater Bolshoi, Moskow, pada pentas kelulusannya tahun 1965.
Ketika Farida kembali ke tanah air, banyak rintangan yang di";2014_Saya_Farida_Sebuah_Autobiografi.jpg
fiksi;https://www.goodreads.com/book/show/33596859-dahlan;Dahlan: Sebuah Novel;Haidar Musyafa;;2016;Javanica;4.14;36ratings;3reviews;Biography;"Ia terlahir dengan nama Muhammad Darwis. Ayahnya, Kyai Abu Bakar, adalah seorang Ketib Amin di Masjid Gede Yogyakarta. Semenjak remaja ia sering bertanya: kenapa umat Islam begitu terpuruk dalam banyak hal? Saat itu ia berpikir umat Islam begitu terkungkung oleh hal-hal takhayul. Ia pernah mencoba bertanya dan memberontak, tetapi justru penolakan dan cacian yang didapatnya.
Keresahan batin mendorong Darwis menuntut ilmu setinggi-tingginya, hingga takdir melayarkannya ke Mekah. Di Mekah ia belajar pada banyak guru. Ia pun berguru kepada Syekh Ahmad Khatib Al-Minangkabawy, Imam Besar Masjidil Haram dari Sumatera, bersama teman seperjalanan dari Jombang: Hasyim Asy’ari. Di Mekah pula ia mendapat nama baru: Ahmad Dahlan. Sepulang dari Tanah Suci ia diangkat menjadi Ketib Amin Masjid Gede oleh ";2016_Dahlan_Sebuah_Novel.jpg
